"channel","gene","attr_mean_signed"
"COVID-19","NFKBIA",0.149151163895925
"COVID-19","PLEK",0.115608839931942
"COVID-19","S100A8",0.0700231341237114
"COVID-19","TMSB4X",0.0687645539783296
"COVID-19","CXCL8",0.0687546121790296
"COVID-19","IER2",0.0632470705963316
"COVID-19","RPL18A",0.0632002332487277
"COVID-19","ZFP36",0.0605533211642788
"COVID-19","EEF1A1",0.0570307668617793
"COVID-19","DUSP1",0.0492139704738344
"COVID-19","LITAF",0.0490103436651684
"COVID-19","FPR1",0.0487947943948564
"COVID-19","KLF6",0.0486098656200227
"COVID-19","AC009501.4",0.0476868690226582
"COVID-19","ACTR3",0.0458730588640485
"Influenza A","HLA-A",0.0460050598167324
"Influenza A","B2M",0.0380441409812422
"Influenza A","HLA-C",0.0335121397283141
"Influenza A","MT-RNR2",0.0310554115555974
"Influenza A","FTH1",0.026374378002318
"Influenza A","PSCA",0.0252676339398125
"Influenza A","PPP1CB",0.0236312631418496
"Influenza A","S100A9",0.0233453267103689
"Influenza A","NAMPT",0.0225928227646334
"Influenza A","HLA-B",0.0223932302820495
"Influenza A","TXNIP",0.0193827399120973
"Influenza A","HBB",0.0182465866535886
"Influenza A","ANXA1",0.0170008511257716
"Influenza A","EVI2B",0.0165823387070106
"Influenza A","UBE2D3",0.014715533276604
