"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","35/278","120/4243",0.291666666666667,4.45158872901679,10.1552152231649,7.50173938843034e-15,2.25127199046795e-11,2.09495943131639e-11,"RPL18A/RPL13A/RPLP1/RPL27A/RPS19/RPL34/RPS27/RPS20/RPS4X/RPS16/RPS14/HNRNPU/RPS29/RPL41/RPL19/CSDE1/RPL21/RPS26/RPL4/RPL24/RPS15A/RPL6/RPS15/RPS11/RPL27/RPS8/RPS28/RPL8/RPL5/CNBP/RPL13/EIF2S3/RPS23/RPS27A/RPS21",35
"GO:0006412","translation","48/278","291/4243",0.164948453608247,2.51754060668991,7.10173531010162,6.93654445114162e-10,1.0408284948938e-06,9.68560654151512e-07,"RPL18A/ZFP36/EEF1A1/GAPDH/RPL13A/RPLP1/RPL27A/RPS19/RPL34/RPS27/RPS20/PPP1R15A/RPS4X/RPS16/BTG2/RPS14/HNRNPU/RPS29/RPL41/RPL19/CSDE1/RPL21/KRT13/RPS26/RPL4/RPL24/RPS15A/RPL6/RPS15/RPS11/RPL27/RPS8/RPS28/BANK1/EEF2/RPL8/RPL5/CNBP/RPL13/FXR1/DDX3X/EIF2S3/EIF4B/RPS23/RPS27A/TPR/MKNK2/RPS21",48
"GO:0071345","cellular response to cytokine stimulus","51/278","348/4243",0.146551724137931,2.23675886876705,6.37539442828745,1.34274979025255e-08,1.34319737351596e-05,1.24993515562807e-05,"NFKBIA/TMSB4X/CXCL8/ZFP36/DUSP1/ACTR3/GAPDH/RPL13A/PTPRC/IFITM2/TNFAIP3/RPS16/ACTR2/HSP90AB1/ACSL1/CXCR2/CCR1/HNRNPU/MME/CSF3R/SAMHD1/CALM1/IL1RN/HCK/ACTG1/CDC42/IFITM3/CSF2RB/TCIRG1/CD44/PTPN11/IL7R/SMARCA5/RIPOR2/HLA-DPA1/LYN/GBP5/CCL3L3/CD24/NFKBIZ/KLF2/IFI27/OSM/GBP3/NFKB1/IFNAR1/GSTP1/CORO1A/HSPA5/TPR/TXNDC17",51
"GO:0042274","ribosomal small subunit biogenesis","15/278","42/4243",0.357142857142857,5.45092497430627,7.67511183653956,2.39525299114612e-08,1.79703855660738e-05,1.6722647856607e-05,"RPS19/RPS27/RPS4X/RPS16/RPS14/RPS15A/RPS15/RPS11/RPS8/RPS28/DNTTIP2/RIOK3/RPS23/RPS27A/RPS21",15
"GO:0034097","response to cytokine","53/278","391/4243",0.135549872122762,2.06884211301036,5.87279620769538,1.02173870723564e-07,6.13247572082832e-05,5.70667955851823e-05,"NFKBIA/TMSB4X/CXCL8/ZFP36/DUSP1/ACTR3/GAPDH/RPL13A/PTPRC/IFITM2/SELL/TNFAIP3/RPS16/ACTR2/HSP90AB1/ACSL1/CXCR2/CCR1/HNRNPU/MME/CSF3R/SAMHD1/CALM1/IL1RN/HCK/ACTG1/CDC42/IFITM3/CSF2RB/TCIRG1/CD44/PTPN11/IL7R/SMARCA5/RIPOR2/HLA-DPA1/LYN/GBP5/CCL3L3/CD24/NFKBIZ/KLF2/CXCL16/IFI27/OSM/GBP3/NFKB1/IFNAR1/GSTP1/CORO1A/HSPA5/TPR/TXNDC17",53
"GO:1901652","response to peptide","53/278","396/4243",0.133838383838384,2.04272036915922,5.76953073771846,1.57241196490373e-07,7.86468051112681e-05,7.31861218050805e-05,"NFKBIA/TMSB4X/CXCL8/ZFP36/DUSP1/ACTR3/GAPDH/RPL13A/PTPRC/IFITM2/SELL/TNFAIP3/RPS16/ACTR2/HSP90AB1/ACSL1/CXCR2/CCR1/HNRNPU/MME/CSF3R/SAMHD1/CALM1/IL1RN/HCK/ACTG1/CDC42/IFITM3/CSF2RB/TCIRG1/CD44/PTPN11/IL7R/SMARCA5/RIPOR2/HLA-DPA1/LYN/GBP5/CCL3L3/CD24/NFKBIZ/KLF2/CXCL16/IFI27/OSM/GBP3/NFKB1/IFNAR1/GSTP1/CORO1A/HSPA5/TPR/TXNDC17",53
"GO:0030595","leukocyte chemotaxis","21/278","99/4243",0.212121212121212,3.23751907564857,5.96431544506745,1.00582493373465e-06,0.000431211518019668,0.000401271210405717,"S100A8/CXCL8/DUSP1/RPL13A/RPS19/CXCR2/CCR1/S100A12/CSF3R/LGMN/TREM1/NINJ1/PDE4B/RIPOR2/LYN/CCL3L3/HMGB1/VEGFA/CXCL16/TNFSF14/CORO1A",21
"GO:0050900","leukocyte migration","27/278","155/4243",0.174193548387097,2.65864469714551,5.56993214301263,1.79115241738551e-06,0.000671906050571739,0.000625253600437337,"S100A8/CXCL8/DUSP1/RPL13A/RPS19/SELL/CXCR2/CCR1/S100A12/CSF3R/LGMN/HCK/TREM1/CDC42/NINJ1/PDE4B/MSN/RIPOR2/LYN/CCL3L3/PTGER4/SPNS2/HMGB1/VEGFA/CXCL16/TNFSF14/CORO1A",27
"GO:0009617","response to bacterium","36/278","254/4243",0.141732283464567,2.1632017220869,5.06204510806981,5.45123461785467e-06,0.00176056052611415,0.00163831953411349,"NFKBIA/S100A8/CXCL8/ZFP36/LITAF/RPL13A/RPS19/TNFAIP3/CFD/S100A12/MS4A1/HCK/TREM1/SOD2/IKZF3/CSF2RB/BANK1/PDE4B/IL7R/LYN/PI3/GBP5/PTGER4/CD24/NFKBIZ/CEBPB/HMGB1/CD68/GBP3/NFKB1/LCN2/IFNAR1/SLPI/GSTP1/RAB7A/CYBA",36
"GO:0030490","maturation of SSU-rRNA","7/278","13/4243",0.538461538461538,8.21831765356945,6.90118415721237,5.866579560527e-06,0.00176056052611415,0.00163831953411349,"RPS19/RPS16/RPS14/RPS8/RPS28/RIOK3/RPS21",7
