"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032101","regulation of response to external stimulus","59/268","449/4243",0.131403118040089,2.0803859322541,6.28546757638134,1.24011428136412e-08,3.71414227268553e-05,3.20341099628162e-05,"HLA-A/S100A9/HLA-B/ANXA1/CD55/ANXA2/STAT3/OAS1/EP300/PRKCD/F3/ISG15/RIPOR2/PRKDC/CD300E/NAIP/ALOX5AP/CASP4/MYD88/IL18RAP/KLK7/BIRC3/TNFRSF1B/FFAR2/TNFAIP6/CD9/HLA-E/USP15/HMGB2/PIK3R1/IL1R1/ANKRD17/CEACAM1/DDX60/IRAK3/PELI1/IER3/NT5C2/TRIB1/CD74/C3AR1/PARP9/CXCR4/STAT1/FGR/OAS3/N4BP1/ADAM10/PDCD4/OXSR1/XRCC5/NEAT1/TRIM38/ADAM17/HLA-F/NLRP3/TRAF3IP3/ETS1/ALOX5",59
"GO:0140546","defense response to symbiont","60/268","478/4243",0.125523012552301,1.98729157559483,5.94923400866002,5.23063928640484e-08,7.83288233139125e-05,6.75578358359867e-05,"HLA-A/B2M/HLA-C/S100A9/HLA-B/ANXA1/OAS2/IFITM1/CD55/IFI6/IFI27/LYST/OAS1/EP300/IFITM3/ISG15/IFIT3/PRKDC/SAMD9/CD300E/NAIP/NCF2/CASP4/MYD88/FAU/IL18RAP/ATP1B1/KLK7/BIRC3/FFAR2/IFI44L/MX1/LYZ/HLA-E/USP15/HMGB2/PIK3R1/ILF3/ANKRD17/CEACAM1/DDX60/IRAK3/PELI1/NT5C2/CD74/PARP9/TRIM8/STAT1/FGR/OAS3/N4BP1/FOSL2/RNF19B/KRT6A/XRCC5/TRIM38/HLA-F/NLRP3/TRAF3IP3/DDX60L",60
"GO:0002250","adaptive immune response","31/268","177/4243",0.175141242937853,2.7728518424825,6.25546432568467,1.09714693170282e-07,0.000100305289315156,8.65123205269814e-05,"HLA-A/B2M/HLA-C/HLA-B/ANXA1/BRD2/CD55/SAMSN1/STAT3/EP300/PRKCD/TAP1/LILRB3/MYD88/IL18RAP/PAG1/TNFRSF1B/HLA-E/FCGR2A/IL1R1/CEACAM1/FCGR3B/PRKCB/CD74/LAT2/HLA-DQB1/RNF19B/INPP5D/ADAM17/HLA-F/NLRP3",31
"GO:0001817","regulation of cytokine production","44/268","311/4243",0.141479099678457,2.23990977587945,5.89722484683273,1.51055911214763e-07,0.000100305289315156,8.65123205269814e-05,"HLA-A/B2M/HLA-B/ANXA1/OAS2/CD55/STAT3/XAF1/IL1R2/OAS1/F3/ISG15/NAIP/MYD88/TNFRSF1B/FFAR2/HLA-E/RPS3/SORL1/FCGR2A/HIF1A/HMGB2/PIK3R1/IL1R1/CEACAM1/SRGN/IRAK3/PELI1/CD74/C3AR1/STAT1/FGR/OAS3/N4BP1/PDCD4/RAD21/INPP5D/TRIM38/ADAM17/HLA-F/NLRP3/XBP1/TRAF3IP3/ALOX5",44
"GO:0001816","cytokine production","44/268","314/4243",0.140127388535032,2.21850936400799,5.82554878113036,2.00851343563867e-07,0.000100305289315156,8.65123205269814e-05,"HLA-A/B2M/HLA-B/ANXA1/OAS2/CD55/STAT3/XAF1/IL1R2/OAS1/F3/ISG15/NAIP/MYD88/TNFRSF1B/FFAR2/HLA-E/RPS3/SORL1/FCGR2A/HIF1A/HMGB2/PIK3R1/IL1R1/CEACAM1/SRGN/IRAK3/PELI1/CD74/C3AR1/STAT1/FGR/OAS3/N4BP1/PDCD4/RAD21/INPP5D/TRIM38/ADAM17/HLA-F/NLRP3/XBP1/TRAF3IP3/ALOX5",44
"GO:0019883","antigen processing and presentation of endogenous antigen","8/268","13/4243",0.615384615384615,9.74282433983927,8.1966691904281,2.23156635144071e-07,0.000100305289315156,8.65123205269814e-05,"HLA-A/B2M/HLA-C/HLA-B/TAP1/HLA-E/CD74/HLA-F",8
"GO:0050776","regulation of immune response","53/268","416/4243",0.127403846153846,2.01706910160735,5.67090089409653,2.34436402406042e-07,0.000100305289315156,8.65123205269814e-05,"HLA-A/B2M/HLA-C/S100A9/HLA-B/ANXA1/BRD2/CD55/SAMSN1/OAS1/EP300/PRKCD/ISG15/PRKDC/CD300E/NAIP/LILRB3/MYD88/IL18RAP/KLK7/BIRC3/TNFRSF1B/FFAR2/HLA-E/RPS3/USP15/FCGR2A/HMGB2/PIK3R1/CD59/IL1R1/ANKRD17/CEACAM1/DDX60/IRAK3/PELI1/FCGR3B/PRKCB/CD74/LAT2/C3AR1/PARP9/FGR/OAS3/N4BP1/HLA-DQB1/FOSL2/XRCC5/INPP5D/HLA-F/NLRP3/XBP1/TRAF3IP3",53
"GO:0002252","immune effector process","38/268","254/4243",0.149606299212598,2.36858032671289,5.84035566490138,2.80608189305428e-07,0.000105052690871219,9.06069074415157e-05,"HLA-A/B2M/HLA-C/S100A9/HLA-B/ANXA1/BRD2/CD55/STAT3/LYST/EP300/PRKCD/MYD88/IL18RAP/KLK7/TNFRSF1B/FFAR2/HLA-E/FCGR2A/PIK3R1/APBB1IP/CD59/IL1R1/ANKRD17/CEACAM1/DDX60/IRAK3/FCGR3B/CD74/LAT2/FGR/RNF19B/KMT2E/INPP5D/ADAM17/HLA-F/NLRP3/XBP1",38
"GO:0002684","positive regulation of immune system process","56/268","456/4243",0.12280701754386,1.94429169939775,5.54147149391652,3.51300208783599e-07,0.000116904902811875,0.00010082932308245,"HLA-A/B2M/HLA-C/S100A9/HLA-B/ANXA1/EVI2B/BRD2/CD55/OAS1/EP300/PRKCD/HCLS1/RIPOR2/PRKDC/NAIP/DOCK8/MYD88/AQP3/IL18RAP/KLK7/BIRC3/FFAR2/HLA-E/RPS3/USP15/HMGB2/PIK3R1/CD59/IL1R1/ANKRD17/CEACAM1/DDX60/IRAK3/PELI1/IRS2/PRKCB/TRIB1/CD74/LAT2/C3AR1/PARP9/FGR/OAS3/ADAM10/HLA-DQB1/FOSL2/OXSR1/XRCC5/INPP5D/ADAM17/HLA-F/NLRP3/XBP1/TRAF3IP3/SIRPB1",56
"GO:0050778","positive regulation of immune response","45/268","333/4243",0.135135135135135,2.13947156111335,5.62369024040961,4.20620181468078e-07,0.000125975744349689,0.000108652834244491,"HLA-A/B2M/HLA-C/S100A9/HLA-B/ANXA1/BRD2/CD55/OAS1/EP300/PRKCD/PRKDC/NAIP/MYD88/IL18RAP/KLK7/BIRC3/FFAR2/HLA-E/RPS3/USP15/HMGB2/PIK3R1/CD59/IL1R1/ANKRD17/CEACAM1/DDX60/IRAK3/PELI1/PRKCB/CD74/LAT2/C3AR1/PARP9/FGR/OAS3/HLA-DQB1/FOSL2/XRCC5/INPP5D/HLA-F/NLRP3/XBP1/TRAF3IP3",45
"GO:0045087","innate immune response","53/268","428/4243",0.123831775700935,1.96051576230995,5.44080639263574,5.98420886868827e-07,0.00016293368692474,0.000140528694390058,"HLA-A/B2M/HLA-C/S100A9/HLA-B/ANXA1/OAS2/IFITM1/CD55/IFI6/IFI27/LYST/OAS1/EP300/IFITM3/ISG15/IFIT3/PRKDC/SAMD9/CD300E/NAIP/NCF2/CASP4/MYD88/FAU/IL18RAP/ATP1B1/BIRC3/FFAR2/MX1/HLA-E/USP15/HMGB2/PIK3R1/ANKRD17/CEACAM1/DDX60/IRAK3/PELI1/CD74/PARP9/TRIM8/STAT1/FGR/OAS3/N4BP1/FOSL2/RNF19B/XRCC5/TRIM38/HLA-F/NLRP3/TRAF3IP3",53
"GO:0031347","regulation of defense response","47/268","363/4243",0.129476584022039,2.04988487315489,5.43079351506893,8.09174273348998e-07,0.000201956412390021,0.000174185409368284,"HLA-A/S100A9/HLA-B/ANXA1/STAT3/OAS1/EP300/PRKCD/ISG15/PRKDC/CD300E/NAIP/ALOX5AP/CASP4/MYD88/IL18RAP/KLK7/BIRC3/TNFRSF1B/FFAR2/TNFAIP6/HLA-E/USP15/HMGB2/PIK3R1/IL1R1/ANKRD17/CEACAM1/DDX60/IRAK3/PELI1/IER3/NT5C2/PARP9/STAT1/FGR/OAS3/N4BP1/PDCD4/XRCC5/NEAT1/TRIM38/HLA-F/NLRP3/TRAF3IP3/ETS1/ALOX5",47
"GO:0002483","antigen processing and presentation of endogenous peptide antigen","7/268","11/4243",0.636363636363636,10.0749660786974,7.82442957623253,9.84955652331346e-07,0.00020508367911556,0.000176882646006356,"HLA-A/B2M/HLA-C/HLA-B/TAP1/HLA-E/HLA-F",7
"GO:0045648","positive regulation of erythrocyte differentiation","8/268","15/4243",0.533333333333333,8.44378109452736,7.49818058696893,9.97659704009515e-07,0.00020508367911556,0.000176882646006356,"STAT3/ISG15/PRKDC/HIF1A/HMGB2/STAT1/INPP5D/ETS1",8
"GO:0001819","positive regulation of cytokine production","33/268","215/4243",0.153488372093023,2.4300416522041,5.58736893410545,1.02713027937676e-06,0.00020508367911556,0.000176882646006356,"HLA-A/B2M/ANXA1/OAS2/CD55/STAT3/OAS1/F3/ISG15/NAIP/MYD88/FFAR2/HLA-E/RPS3/SORL1/FCGR2A/HIF1A/HMGB2/PIK3R1/IL1R1/IRAK3/PELI1/CD74/C3AR1/STAT1/FGR/OAS3/RAD21/ADAM17/HLA-F/NLRP3/XBP1/TRAF3IP3",33
"GO:0002699","positive regulation of immune effector process","21/268","104/4243",0.201923076923077,3.19686423650976,5.88920046825386,1.29307152324413e-06,0.000242046825757261,0.000208762994607967,"HLA-A/B2M/HLA-C/HLA-B/ANXA1/BRD2/CD55/EP300/MYD88/IL18RAP/KLK7/FFAR2/HLA-E/IL1R1/ANKRD17/DDX60/CD74/FGR/HLA-F/NLRP3/XBP1",21
"GO:0042742","defense response to bacterium","21/268","105/4243",0.2,3.16641791044776,5.83614141160384,1.52554953972067e-06,0.000268765933615495,0.000231807961020095,"HLA-A/B2M/S100A9/OAS2/LYST/OAS1/PRKCD/ISG15/NAIP/CASP4/MYD88/FAU/KLK7/LYZ/HLA-E/HMGB2/ANKRD17/FGR/OAS3/KRT6A/ADAM17",21
"GO:0001906","cell killing","18/268","82/4243",0.219512195121951,3.47533673097925,5.87660522855176,2.14990717790141e-06,0.000357720666545263,0.000308530538863747,"HLA-A/B2M/HLA-C/HLA-B/CD55/LYST/MYD88/IL18RAP/LYZ/HLA-E/FCGR2A/PIK3R1/CD59/CEACAM1/FCGR3B/RNF19B/KRT6A/HLA-F",18
"GO:0009617","response to bacterium","36/268","254/4243",0.141732283464567,2.24391820425432,5.30836560272632,2.2793942411183e-06,0.000359304513271017,0.000309896591008549,"HLA-A/B2M/S100A9/HLA-B/OAS2/CD55/LYST/SOD2/OAS1/PRKCD/ISG15/HERC6/NAIP/CASP4/MYD88/FAU/KLK7/TNFRSF1B/FKBP5/WASL/LYZ/HLA-E/HMGB2/ANKRD17/IRAK3/IFI44/PELI1/TRIB1/FGR/OAS3/FOSL2/PDCD4/KRT6A/ADAM17/NLRP3/XBP1",36
"GO:0045639","positive regulation of myeloid cell differentiation","12/268","39/4243",0.307692307692308,4.87141216991963,6.30600808736381,2.65201329656379e-06,0.000397138991160427,0.000342528454198292,"EVI2B/STAT3/ISG15/HCLS1/PRKDC/HIF1A/HMGB2/TRIB1/CD74/STAT1/INPP5D/ETS1",12
"GO:0050830","defense response to Gram-positive bacterium","11/268","33/4243",0.333333333333333,5.2773631840796,6.40436700958656,2.89212035665122e-06,0.000412471450865258,0.00035575254913394,"HLA-A/B2M/CASP4/MYD88/FAU/LYZ/HLA-E/HMGB2/FGR/KRT6A/ADAM17",11
"GO:0045646","regulation of erythrocyte differentiation","9/268","22/4243",0.409090909090909,6.47676390773406,6.68670011974058,3.36258298105272e-06,0.000457769819466041,0.000394821944282458,"B2M/STAT3/ISG15/PRKDC/HIF1A/HMGB2/STAT1/INPP5D/ETS1",9
"GO:0045637","regulation of myeloid cell differentiation","17/268","77/4243",0.220779220779221,3.49539639465013,5.7373247857287,3.82376857875391e-06,0.000489400557231543,0.000422103142938654,"B2M/EVI2B/STAT3/ISG15/HCLS1/PRKDC/LILRB3/TNFAIP6/HIF1A/HMGB2/PIK3R1/CEACAM1/TRIB1/CD74/STAT1/INPP5D/ETS1",17
"GO:0002449","lymphocyte mediated immunity","21/268","111/4243",0.189189189189189,2.99526018555869,5.530508091759,3.92174069233958e-06,0.000489400557231543,0.000422103142938654,"HLA-A/B2M/HLA-C/HLA-B/CD55/LYST/PRKCD/MYD88/IL18RAP/TNFRSF1B/HLA-E/FCGR2A/PIK3R1/IL1R1/CEACAM1/FCGR3B/CD74/RNF19B/INPP5D/HLA-F/NLRP3",21
"GO:0002697","regulation of immune effector process","26/268","159/4243",0.163522012578616,2.58889514690697,5.30194351496245,4.78667811080286e-06,0.000573444037674183,0.000494589814059378,"HLA-A/B2M/HLA-C/S100A9/HLA-B/ANXA1/BRD2/CD55/EP300/MYD88/IL18RAP/KLK7/TNFRSF1B/FFAR2/HLA-E/CD59/IL1R1/ANKRD17/CEACAM1/DDX60/IRAK3/CD74/FGR/HLA-F/NLRP3/XBP1",26
"GO:0002831","regulation of response to biotic stimulus","36/268","267/4243",0.134831460674157,2.13466375985242,4.97260302160551,7.45182813636854e-06,0.000834421237991546,0.000719680069600652,"HLA-A/S100A9/HLA-B/CD55/OAS1/EP300/ISG15/PRKDC/CD300E/NAIP/MYD88/IL18RAP/KLK7/BIRC3/FFAR2/HLA-E/USP15/HMGB2/PIK3R1/ANKRD17/CEACAM1/DDX60/IRAK3/PELI1/NT5C2/TRIB1/PARP9/STAT1/FGR/OAS3/N4BP1/XRCC5/TRIM38/HLA-F/NLRP3/TRAF3IP3",36
"GO:0001909","leukocyte mediated cytotoxicity","14/268","57/4243",0.245614035087719,3.8885833987955,5.7004204496164,7.52232835585033e-06,0.000834421237991546,0.000719680069600652,"HLA-A/B2M/HLA-C/HLA-B/LYST/MYD88/IL18RAP/HLA-E/FCGR2A/PIK3R1/CEACAM1/FCGR3B/RNF19B/HLA-F",14
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","22/268","125/4243",0.176,2.78644776119403,5.26364170380172,7.92751826233887e-06,0.000847961328418033,0.000731358263751112,"HLA-A/B2M/HLA-C/HLA-B/ANXA1/BRD2/CD55/STAT3/EP300/PRKCD/MYD88/TNFRSF1B/HLA-E/FCGR2A/IL1R1/CEACAM1/FCGR3B/CD74/INPP5D/ADAM17/HLA-F/NLRP3",22
