"status","group","n","prop"
"healthy","neutrophil",390,0.698924731182796
"healthy","epithelial",131,0.234767025089606
"healthy","macro",18,0.032258064516129
"healthy","Bcell",7,0.0125448028673835
"healthy","Tcell",12,0.021505376344086
"COVID-19","neutrophil",169,0.321904761904762
"COVID-19","epithelial",113,0.215238095238095
"COVID-19","macro",45,0.0857142857142857
"COVID-19","Bcell",122,0.232380952380952
"COVID-19","Tcell",36,0.0685714285714286
"COVID-19","unk_COVID",40,0.0761904761904762
"fluA","neutrophil",1260,0.684410646387833
"fluA","epithelial",314,0.170559478544269
"fluA","macro",178,0.0966865833785986
"fluA","Bcell",15,0.00814774579033134
"fluA","Tcell",74,0.040195545898968
