"cellType","status","cell_count","donor_count","subtype_label"
"ABC","COVID-19",66,5,"ABC  (n=70)"
"ABC","fluA",3,2,"ABC  (n=70)"
"ABC","healthy",1,1,"ABC  (n=70)"
"G5b","COVID-19",1,1,"G5b  (n=134)"
"G5b","fluA",132,7,"G5b  (n=134)"
"G5b","healthy",1,1,"G5b  (n=134)"
"G5c_naive","COVID-19",3,2,"G5c_naive  (n=373)"
"G5c_naive","fluA",362,7,"G5c_naive  (n=373)"
"G5c_naive","healthy",8,3,"G5c_naive  (n=373)"
"basal","COVID-19",1,1,"basal  (n=70)"
"basal","fluA",4,1,"basal  (n=70)"
"basal","healthy",65,2,"basal  (n=70)"
"hillock","COVID-19",78,4,"hillock  (n=86)"
"hillock","fluA",8,5,"hillock  (n=86)"
"hillock","healthy",0,0,"hillock  (n=86)"
"unk_epi","COVID-19",25,2,"unk_epi  (n=345)"
"unk_epi","fluA",258,6,"unk_epi  (n=345)"
"unk_epi","healthy",62,4,"unk_epi  (n=345)"
