"task","subtype.x","disease.x","gene","mean_attr","rank_plot","letter","subtype.y","disease.y","color"
"ABC_covid","ABC","COVID-19","HLA-DPB1",0.083155,1,"D","ABC","COVID-19","#3F6B99"
"ABC_covid","ABC","COVID-19","BANK1",0.059442375,2,"D","ABC","COVID-19","#3F6B99"
"ABC_covid","ABC","COVID-19","MS4A1",0.059389375,3,"D","ABC","COVID-19","#3F6B99"
"ABC_covid","ABC","COVID-19","EEF1A1",0.057522662,4,"D","ABC","COVID-19","#3F6B99"
"ABC_covid","ABC","COVID-19","KLF6",0.05699878,5,"D","ABC","COVID-19","#3F6B99"
"ABC_covid","ABC","COVID-19","HLA-DRA",0.055871222,6,"D","ABC","COVID-19","#3F6B99"
"ABC_covid","ABC","COVID-19","NFKBIA",0.055305623,7,"D","ABC","COVID-19","#3F6B99"
"ABC_covid","ABC","COVID-19","TMSB4X",0.05529043,8,"D","ABC","COVID-19","#3F6B99"
"G5c_naive_fluA","G5c_naive","FluA","FTH1",0.016982416,2,"A","G5c_naive","FluA","#148A8A"
"G5c_naive_fluA","G5c_naive","FluA","NAMPT",0.015542898,3,"A","G5c_naive","FluA","#148A8A"
"G5c_naive_fluA","G5c_naive","FluA","S100A9",0.0152701,4,"A","G5c_naive","FluA","#148A8A"
"G5c_naive_fluA","G5c_naive","FluA","OAS2",0.012369162,5,"A","G5c_naive","FluA","#148A8A"
"G5c_naive_fluA","G5c_naive","FluA","IFITM1",0.011298744,6,"A","G5c_naive","FluA","#148A8A"
"G5c_naive_fluA","G5c_naive","FluA","EVI2B",0.010810329,8,"A","G5c_naive","FluA","#148A8A"
"G5c_naive_fluA","G5c_naive","FluA","FBXL5",0.010668449,9,"A","G5c_naive","FluA","#148A8A"
"G5c_naive_fluA","G5c_naive","FluA","SOD2",0.009713043,10,"A","G5c_naive","FluA","#148A8A"
"hillock_covid","hillock","COVID-19","KRT15",0.043754183,1,"C","hillock","COVID-19","#3F6B99"
"hillock_covid","hillock","COVID-19","GCNT3",0.039552175,2,"C","hillock","COVID-19","#3F6B99"
"hillock_covid","hillock","COVID-19","KRT13",0.039444696,3,"C","hillock","COVID-19","#3F6B99"
"hillock_covid","hillock","COVID-19","TMPRSS11B",0.037583835,4,"C","hillock","COVID-19","#3F6B99"
"hillock_covid","hillock","COVID-19","EMP1",0.035842977,5,"C","hillock","COVID-19","#3F6B99"
"hillock_covid","hillock","COVID-19","NFKBIA",0.0332081,6,"C","hillock","COVID-19","#3F6B99"
"hillock_covid","hillock","COVID-19","PADI1",0.026628397,7,"C","hillock","COVID-19","#3F6B99"
"hillock_covid","hillock","COVID-19","DUSP5",0.02662734,8,"C","hillock","COVID-19","#3F6B99"
"unk_epi_fluA","unk_epi","FluA","PSCA",0.11125377,1,"B","unk_epi","FluA","#148A8A"
"unk_epi_fluA","unk_epi","FluA","PPP1CB",0.062018864,2,"B","unk_epi","FluA","#148A8A"
"unk_epi_fluA","unk_epi","FluA","ANXA1",0.047938697,3,"B","unk_epi","FluA","#148A8A"
"unk_epi_fluA","unk_epi","FluA","SPRR1B",0.0459449,4,"B","unk_epi","FluA","#148A8A"
"unk_epi_fluA","unk_epi","FluA","B2M",0.039857626,5,"B","unk_epi","FluA","#148A8A"
"unk_epi_fluA","unk_epi","FluA","IFI27",0.038958356,6,"B","unk_epi","FluA","#148A8A"
"unk_epi_fluA","unk_epi","FluA","HSPB8",0.0338296,8,"B","unk_epi","FluA","#148A8A"
"unk_epi_fluA","unk_epi","FluA","AQP3",0.032075483,9,"B","unk_epi","FluA","#148A8A"
