"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","task","subtype","disease"
"GO:1901652","response to peptide","36/134","390/4153",0.0923076923076923,2.86084959816303,7.04852972959194,2.3224068621722e-09,2.64406021258305e-06,2.35174252779964e-06,"OAS2/IFITM1/IFITM3/RIPOR2/SELL/IFITM2/MYD88/XAF1/HCLS1/MCL1/STAT3/TNFRSF1B/MX1/OASL/USP10/MEFV/CASP4/CSF2RB/CXCR2/SELPLG/NFKBIA/TLR2/IL1R2/STAT1/IL18RAP/OAS3/SP100/CARD16/DOCK8/IRF7/IRS2/SAMHD1/OSM/CD14/OAS1/IFI16",36,"G5c_naive_fluA","G5c_naive","FluA"
"GO:0034340","response to type I interferon","13/134","48/4153",0.270833333333333,8.39381218905473,9.40707315319904,1.68809544750389e-09,2.64406021258305e-06,2.35174252779964e-06,"OAS2/IFITM1/IFITM3/IFITM2/MYD88/MX1/OASL/STAT1/OAS3/SP100/IRF7/SAMHD1/OAS1",13,"G5c_naive_fluA","G5c_naive","FluA"
"GO:0140888","interferon-mediated signaling pathway","12/134","57/4153",0.210526315789474,6.52474469756481,7.66817006507903,1.5911350356393e-07,4.52876809518836e-05,4.02808395864476e-05,"OAS2/IFITM1/IFITM3/IFITM2/MYD88/OASL/STAT1/OAS3/SP100/IRF7/SAMHD1/OAS1",12,"G5c_naive_fluA","G5c_naive","FluA"
"GO:0031347","regulation of defense response","31/134","362/4153",0.0856353591160221,2.65405706275254,6.01381341625235,2.31987108086381e-07,5.28234645112689e-05,4.69834943113891e-05,"S100A9/HLA-A/ALOX5AP/MYD88/NEAT1/STAT3/TNFRSF1B/OASL/USP15/MEFV/CASP4/PRKDC/HLA-B/NFKBIA/TLR2/STAT1/IL18RAP/OAS3/DDX60/CARD16/IRF7/ANXA1/PELI1/SAMHD1/NAGK/OSM/SEC14L1/CD14/OAS1/IFI16/CLEC7A",31,"G5c_naive_fluA","G5c_naive","FluA"
"GO:0002831","regulation of response to biotic stimulus","25/134","266/4153",0.093984962406015,2.91283245427,5.88752207054459,7.6531932297189e-07,0.000145219341533916,0.000129164419069993,"S100A9/HLA-A/CD55/MYD88/OASL/USP15/MEFV/PRKDC/HLA-B/NFKBIA/TLR2/STAT1/IL18RAP/OAS3/DDX60/CARD16/IRF7/PELI1/SAMHD1/NAGK/SEC14L1/CD14/OAS1/IFI16/CLEC7A",25,"G5c_naive_fluA","G5c_naive","FluA"
"GO:0030216","keratinocyte differentiation","15/143","70/4153",0.214285714285714,6.22327672327672,8.3219838713977,7.73902570139508e-09,1.91308715338486e-05,1.83944421407896e-05,"ANXA1/SPRR1B/AQP3/SPRR1A/KRT80/KRT6A/KRT78/KRT7/CNFN/SFN/YAP1/TXNIP/CDKN1A/CFLAR/ST14",15,"unk_epi_fluA","unk_epi","FluA"
"GO:0042246","tissue regeneration","7/143","25/4153",0.28,8.13174825174825,6.7533719427403,1.4157863977234e-05,0.00499974853596035,0.00480728674595404,"ANXA1/CD9/KLK6/YAP1/CDKN1A/CFLAR/NACA",7,"unk_epi_fluA","unk_epi","FluA"
"GO:0019731","antibacterial humoral response","5/143","15/4153",0.333333333333333,9.68065268065268,6.35956296165369,0.000102570026867511,0.0253553106416487,0.0243792758596673,"B2M/KLK7/HLA-A/RNASE7/FAU",5,"unk_epi_fluA","unk_epi","FluA"
"GO:0001914","regulation of T cell mediated cytotoxicity","5/143","18/4153",0.277777777777778,8.06721056721057,5.67376092163487,0.000269136926369955,0.0511774216912715,0.0492073829751707,"B2M/HLA-A/HLA-B/HLA-C/CEACAM1",5,"unk_epi_fluA","unk_epi","FluA"
"GO:0031341","regulation of cell killing","7/143","39/4153",0.179487179487179,5.21265913573606,4.99092432138038,0.000302218958250159,0.0533632331995995,0.0513090532126962,"B2M/HLA-A/CD59/HLA-B/HLA-C/CD55/CEACAM1",7,"unk_epi_fluA","unk_epi","FluA"
