"module","evidence","rho","p_value","p_adj"
"COVID_cytokine_inflammation","healthy_evidence",0.167471822461993,7.76198455429616e-20,1.33062592359363e-19
"COVID_myeloid_migration","healthy_evidence",0.198926610310245,1.77036608524231e-27,3.54073217048462e-27
"FluA_antigen_presentation","healthy_evidence",0.103436724417073,2.07187099900916e-08,2.26022290800999e-08
"FluA_antiviral_effector","healthy_evidence",0.16048430242597,2.525017207518e-18,3.787525811277e-18
"COVID_cytokine_inflammation","covid_evidence",-0.153904159207035,5.83254465819662e-17,7.77672621092883e-17
"COVID_myeloid_migration","covid_evidence",-0.228206737590014,7.45818956740616e-36,2.98327582696247e-35
"FluA_antigen_presentation","covid_evidence",-0.242318089538873,2.43696882598555e-40,1.46218129559133e-39
"FluA_antiviral_effector","covid_evidence",-0.226215949612942,3.03142553026329e-35,9.09427659078988e-35
"COVID_cytokine_inflammation","flua_evidence",0.0882697327541642,1.74953828957668e-06,1.74953828957668e-06
"COVID_myeloid_migration","flua_evidence",0.106872245557956,6.90828574690535e-09,8.28994289628642e-09
"FluA_antigen_presentation","flua_evidence",0.271202921397909,1.8202734213061e-50,2.18432810556732e-49
"FluA_antiviral_effector","flua_evidence",0.213748989176778,1.4566094011515e-31,3.49586256276359e-31
